,total_of_www,longest_word_path,phish_hints,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,domain_age,web_traffic,google_index,page_rank
221,1,0,0,68,0.705882353,0.294117647,2740,1225906,0,3
222,1,17,0,51,1.0,0.0,3992,5697976,1,0
223,1,17,0,51,1.0,0.0,3993,5707171,1,0
224,0,9,0,1,1.0,0.0,1993,0,1,0
225,0,9,0,284,0.947183099,0.052816901,6682,857832,0,4
226,0,13,0,4,1.0,0.0,1834,0,1,0
227,0,8,1,13,1.0,0.0,2573,0,1,0
228,0,0,0,13,0.076923077,0.923076923,7295,0,1,5
229,1,13,0,45,0.666666667,0.333333333,3624,227086,0,2
230,0,3,0,125,0.952,0.048,12430,1858,1,5
231,0,0,0,1,0.0,1.0,7083,17964,1,3
232,1,13,0,94,0.936170213,0.063829787,4487,2873,1,5
233,0,2,0,20,0.45,0.55,3829,0,1,0
234,1,10,0,263,0.779467681,0.2205323189999999,7837,603,0,6
235,1,0,0,73,0.671232877,0.328767123,7568,51162,0,4
236,0,10,3,5,1.0,0.0,1728,0,1,3
237,0,6,0,116,0.879310345,0.120689655,6605,899,1,5
238,1,5,0,81,0.4691358020000001,0.530864198,7052,1720,0,7
239,1,11,0,48,0.583333333,0.4166666670000001,2135,2721076,0,3
240,1,6,0,90,0.522222222,0.477777778,3555,0,1,2
241,0,0,1,13,0.461538462,0.538461538,5615,0,0,5
242,0,11,0,224,0.8660714290000001,0.133928571,7858,8866,0,6
243,0,7,2,21,0.19047619,0.80952381,5626,0,1,5
244,0,0,0,14,0.071428571,0.928571429,7295,0,1,5
245,1,6,0,0,0.0,0.0,348,0,1,0
246,0,5,0,35,0.457142857,0.542857143,8701,309,0,6
247,0,7,0,582,0.2886597939999999,0.7113402059999999,7,0,1,0
248,1,10,0,176,0.994318182,0.005681818,7887,2606,0,5
249,1,8,0,17,0.0,1.0,7423,289,0,7
250,1,5,1,18,0.833333333,0.166666667,3,0,1,0
251,1,0,0,23,0.434782609,0.565217391,1346,504286,0,2
252,1,5,0,499,0.951903808,0.048096192,5090,55262,0,5
253,0,0,0,23,1.0,0.0,819,0,1,2
254,0,12,0,22,0.727272727,0.272727273,5452,125976,1,3
255,1,10,0,20,0.45,0.55,5406,9301,1,6
256,0,46,0,26,0.115384615,0.884615385,8018,0,1,4
257,1,7,0,320,0.73125,0.26875,9283,124,0,7
258,0,8,0,354,0.960451977,0.039548023,7133,12,0,7
259,1,9,0,259,0.544401544,0.455598456,6068,4211,0,4
260,1,5,0,335,0.970149254,0.029850746,3899,207904,0,4
261,1,12,0,86,0.627906977,0.3720930229999999,2703,73113,0,4
262,0,67,0,19,0.6315789470000001,0.3684210529999999,5613,8028573,1,5
263,0,9,0,269,0.416356877,0.583643123,4151,3231,0,6
264,0,7,0,0,0.0,0.0,7448,385,1,8
265,0,0,0,36,0.75,0.25,7621,56198,1,6
266,0,10,0,113,0.637168142,0.3628318579999999,7618,2192,0,5
267,0,11,0,78,0.384615385,0.615384615,4646,2792,0,6
268,0,0,0,0,0.0,0.0,784,2745991,1,0
269,1,0,0,67,0.835820896,0.164179104,4996,179875,0,4
270,1,12,0,33,0.757575758,0.2424242419999999,7422,206151,0,5
271,0,7,1,76,0.605263158,0.394736842,6329,642,1,10
272,1,5,0,34,0.205882353,0.794117647,3250,421761,1,4
273,1,10,0,31,0.709677419,0.290322581,5911,86615,0,5
274,1,7,0,16,0.5625,0.4375,6995,102767,0,4
275,1,0,0,1219,0.995898277,0.004101723,5763,2374842,0,3
276,1,10,0,175,0.64,0.36,8146,12516,0,6
277,1,7,0,13,0.846153846,0.153846154,4973,460221,1,4
278,1,11,0,34,0.529411765,0.470588235,6969,2519986,0,4
279,0,32,0,64,0.078125,0.921875,3206,0,1,0
280,0,0,0,166,0.234939759,0.7650602409999999,4310,0,1,2
281,1,9,0,938,0.986140725,0.013859275,5379,684852,0,3
282,0,64,1,21,1.0,0.0,3,0,1,0
283,1,22,0,0,0.0,0.0,8391,0,0,3
284,0,10,0,64,0.375,0.625,7446,0,0,8
285,0,15,2,19,0.6315789470000001,0.3684210529999999,8347,1,1,10
286,0,0,0,14,0.071428571,0.928571429,7295,0,0,5
287,0,10,4,169,0.940828402,0.059171598,7148,0,1,1
288,0,0,0,112,0.5625,0.4375,7447,0,0,8
289,0,64,1,12,0.333333333,0.666666667,6589,30,1,4
290,0,7,0,70,0.8,0.2,3063,430644,0,4
291,0,6,0,19,0.263157895,0.736842105,313,0,0,0
292,1,8,0,207,0.77294686,0.22705314,5051,4813,0,6
293,0,13,0,0,0.0,0.0,561,0,1,0
294,1,0,0,18,0.944444444,0.055555556,4796,621566,0,3
295,0,7,0,0,0.0,0.0,4537,0,1,1
296,0,64,2,3,1.0,0.0,1658,0,1,2
297,0,7,0,8,0.875,0.125,4224,0,1,0
298,1,4,0,0,0.0,0.0,1000,0,1,0
299,1,12,1,145,0.8827586209999999,0.117241379,7403,7218,0,5
300,1,9,0,7,0.285714286,0.7142857140000001,5848,110671,1,4
301,0,17,0,51,1.0,0.0,3993,5707171,1,0
302,0,7,2,5,1.0,0.0,1939,8011140,1,3
303,0,9,0,0,0.0,0.0,1972,0,1,0
304,0,0,0,16,0.5,0.5,806,45133,1,1
305,1,6,0,299,0.959866221,0.040133779,4175,1372,0,8
306,0,6,0,45,0.977777778,0.022222222,1541,2573053,0,0
307,1,10,0,61,0.983606557,0.016393443,7336,52443,0,5
308,0,1,0,9,1.0,0.0,5158,0,0,8
309,0,0,0,17,0.411764706,0.588235294,117,0,1,0
310,1,7,0,53,0.622641509,0.377358491,8519,8,0,10
311,1,32,0,0,0.0,0.0,7489,376,1,7
312,0,8,0,13,0.846153846,0.153846154,431,8509505,1,0
313,0,15,0,51,1.0,0.0,3992,5697976,1,0
314,1,8,0,23,0.565217391,0.434782609,6200,1364953,1,4
315,0,0,0,109,0.587155963,0.4128440370000001,7449,0,0,8
316,1,0,0,80,0.375,0.625,5905,0,0,2
317,0,0,0,12,0.0,1.0,7253,943419,1,1
318,0,94,1,3,1.0,0.0,756,0,1,0
319,0,6,0,3,1.0,0.0,724,23941,1,1
320,0,8,1,7,1.0,0.0,3014,433561,1,4
321,1,11,0,296,0.8277027029999999,0.172297297,7558,1695,1,7
322,0,0,0,65,0.938461538,0.061538462,2498,0,0,2
323,1,13,0,37,0.594594595,0.405405405,5910,86615,0,5
324,1,0,0,0,0.0,0.0,229,0,1,0
325,0,15,0,51,1.0,0.0,3992,5697976,1,0
326,1,9,0,141,0.929078014,0.0709219859999999,2238,289244,0,4
327,0,0,0,14,0.071428571,0.928571429,7309,0,1,5
328,1,7,0,258,0.100775194,0.899224806,3094,0,1,3
329,0,5,2,1,1.0,0.0,8264,0,1,6
330,1,0,0,55,0.872727273,0.127272727,3811,4223292,0,4
331,1,7,0,147,0.421768707,0.578231293,8517,8,0,10
332,0,9,0,26,0.653846154,0.346153846,2497,945088,0,4
333,0,5,0,19,0.6315789470000001,0.3684210529999999,8346,1,0,10
334,1,5,0,79,0.7468354429999999,0.253164557,5932,326162,0,3
335,0,67,0,19,0.6315789470000001,0.3684210529999999,5614,0,1,5
336,0,6,0,1451,0.865609924,0.134390076,7133,12,0,7
337,1,9,1,99,0.757575758,0.2424242419999999,7224,39563,1,5
338,0,17,0,51,1.0,0.0,3993,5707171,1,0
339,0,10,0,5,1.0,0.0,12350,7863,0,5
340,0,7,1,7,0.857142857,0.142857143,91,0,1,3
341,0,0,0,120,0.9,0.1,3790,679696,0,3
342,1,13,0,66,0.909090909,0.090909091,330,0,1,0
343,1,6,0,6,1.0,0.0,8618,219006,0,5
344,1,0,0,65,0.892307692,0.107692308,3630,426586,0,2
345,1,8,0,76,0.894736842,0.105263158,7754,48945,0,5
346,1,0,0,143,0.8531468529999999,0.146853147,5527,2974,0,4
347,0,7,1,0,0.0,0.0,1561,0,0,0
348,1,14,1,2,0.5,0.5,3317,0,1,2
349,1,0,0,59,0.745762712,0.254237288,8165,6420236,0,4
350,0,17,0,51,1.0,0.0,3992,5697976,1,0
351,1,10,0,9,0.7777777779999999,0.222222222,7142,1347894,0,3
352,0,16,0,31,1.0,0.0,1628,3025118,1,1
353,1,7,2,401,0.134663342,0.8653366579999999,8034,0,1,4
354,1,13,0,137,0.8467153279999999,0.1532846719999999,10173,1265063,0,4
355,0,5,0,9,1.0,0.0,1880,0,1,0
356,1,14,3,13,0.7692307690000001,0.230769231,1419,0,1,0
357,1,0,0,74,0.8513513509999999,0.148648649,4055,1914295,0,2
358,0,5,0,384,0.979166667,0.020833333,1773,8134,0,6
359,0,15,0,6,0.5,0.5,8919,314941,1,3
360,1,11,0,141,0.985815603,0.014184397,8881,23490,0,4
361,0,17,0,51,1.0,0.0,3993,5707171,1,0
362,0,9,2,41,0.390243902,0.609756098,5729,3192494,0,3
363,0,25,2,18,0.944444444,0.055555556,4478,188429,1,2
364,1,10,0,82,1.0,0.0,4329,0,1,2
365,1,8,0,49,0.918367347,0.081632653,5511,469364,0,5
366,1,10,0,50,0.84,0.16,8620,1432,0,6
367,1,0,0,30,0.166666667,0.833333333,5223,865185,0,2
368,1,5,0,98,0.8979591840000001,0.1020408159999999,5621,49703,1,5
369,1,0,0,260,0.653846154,0.346153846,8996,2132314,0,2
370,0,13,0,21,0.428571429,0.571428571,6316,6412,0,6
371,1,8,0,123,0.93495935,0.06504065,8705,69911,0,5
372,0,11,0,106,0.962264151,0.037735849,6430,618,0,5
373,0,4,0,14,1.0,0.0,6,0,1,0
374,0,8,2,3,1.0,0.0,1824,0,1,0
375,0,0,0,0,0.0,0.0,396,0,1,0
376,0,32,1,0,0.0,0.0,359,0,0,1
377,1,7,0,14,0.428571429,0.571428571,4478,625153,0,5
378,1,16,0,0,0.0,0.0,2100,0,1,0
379,0,18,4,21,0.428571429,0.571428571,630,0,1,2
380,0,5,0,169,0.940828402,0.059171598,7130,12,0,7
381,0,10,0,8,0.75,0.25,3482,1212036,0,4
382,0,9,0,830,0.903614458,0.0963855419999999,7133,12,0,7
383,0,5,1,33,0.272727273,0.727272727,1547,4639,1,2
384,1,0,0,16,0.8125,0.1875,7921,3601536,0,2
385,0,0,0,4,1.0,0.0,1,0,1,0
386,1,0,0,0,0.0,0.0,3313,298753,0,3
387,0,7,3,0,0.0,0.0,497,0,1,0
388,0,5,0,0,0.0,0.0,5613,0,1,5
389,1,0,0,0,0.0,0.0,1739,0,0,0
390,0,0,0,14,0.071428571,0.928571429,7295,0,1,5
391,1,32,0,30,0.966666667,0.033333333,5767,0,1,2
392,1,10,0,2,0.0,1.0,2292,134706,0,4
393,1,7,0,47,0.893617021,0.106382979,8373,1352921,0,4
394,0,32,0,21,0.047619048,0.952380952,6962,347165,1,3
395,0,11,0,31,0.225806452,0.774193548,1546,4669,1,2
396,0,8,3,11,1.0,0.0,7378,746847,1,2
397,0,14,0,25,0.52,0.48,7488,63,0,10
398,1,7,0,105,0.914285714,0.085714286,8885,5703,1,5
399,1,6,0,170,0.870588235,0.129411765,6931,175929,0,3
400,1,12,0,180,0.838888889,0.161111111,6257,689,0,6
401,0,10,3,5,1.0,0.0,1728,0,1,3
402,0,9,0,56,0.482142857,0.517857143,647,1530583,1,1
403,0,6,0,0,0.0,0.0,998,0,1,0
404,1,14,0,5,0.4,0.6,5160,115,1,8
405,0,13,0,765,0.994771242,0.005228758,5942,94313,1,3
406,0,9,0,265,0.939622642,0.060377358,5825,7698,0,7
407,0,15,0,51,1.0,0.0,3993,5707171,1,0
408,0,32,0,0,0.0,0.0,5233,10313348,1,3
409,1,7,0,14,0.7857142859999999,0.214285714,4565,7521365,1,4
410,1,7,0,483,0.83436853,0.16563147,9280,126,1,7
411,1,7,0,99,0.949494949,0.0505050509999999,8614,98840,0,5
412,0,2,0,0,0.0,0.0,2306,0,1,0
413,1,7,0,66,0.848484848,0.151515152,8831,2695,0,6
414,0,7,1,33,0.03030303,0.96969697,31,0,1,0
415,0,0,0,174,0.1034482759999999,0.896551724,7297,283040,0,5
416,1,7,0,6,1.0,0.0,3123,0,1,3
417,0,5,0,8,1.0,0.0,1338,22211,1,6
418,0,0,0,12,0.0,1.0,7359,1052987,1,1
419,0,16,1,0,0.0,0.0,3323,209025,0,2
420,1,0,0,78,0.115384615,0.884615385,5058,625423,0,4
421,0,10,0,7,0.0,1.0,2306,0,1,0
422,0,6,0,756,0.85978836,0.14021164,7129,12,0,7
423,1,32,2,23,0.7826086959999999,0.2173913039999999,4284,0,1,1
424,0,0,0,12,1.0,0.0,1317,142374,0,2
425,1,0,0,147,0.918367347,0.081632653,6962,211607,0,5
426,1,0,0,253,0.3003952569999999,0.699604743,2842,223021,0,2
427,0,10,0,63,0.857142857,0.142857143,2345,237648,1,2
428,1,9,0,319,0.692789969,0.307210031,8916,1359,0,7
429,1,7,0,115,0.7565217390000001,0.243478261,9205,692,0,6
430,0,0,1,0,0.0,0.0,5626,0,1,5
431,0,8,0,23,0.260869565,0.739130435,4370,0,1,0
432,1,9,0,289,0.923875433,0.076124567,8466,16226,0,5
433,0,7,0,133,0.766917293,0.233082707,9399,15,1,9
434,1,0,0,64,0.3125,0.6875,3122,1237904,0,5
435,0,33,1,1,0.0,1.0,8346,1,0,10
436,0,6,0,217,0.958525346,0.041474654,7156,2250,1,3
437,1,10,0,32,0.96875,0.03125,7337,52443,0,5
438,0,32,0,0,0.0,0.0,4942,0,1,0
439,0,9,0,481,0.995841996,0.004158004,11046,13977,0,5
440,0,13,0,4,1.0,0.0,1877,0,1,1
441,0,4,0,10,0.2,0.8,2363,0,1,0
442,1,0,0,168,0.267857143,0.732142857,6553,562216,0,4
443,0,9,0,143,0.909090909,0.090909091,8346,1,0,10
444,0,32,0,30,0.966666667,0.033333333,5767,0,1,2
445,1,8,0,200,0.955,0.045,5509,1294,0,7
446,0,5,1,0,0.0,0.0,6532,0,1,0
447,1,10,0,136,0.330882353,0.669117647,8520,8,0,10
448,1,7,0,17,0.0,1.0,7422,286,1,7
449,0,3,0,142,0.901408451,0.098591549,8049,1590,0,5
450,0,8,0,199,0.984924623,0.015075377,9073,14978,0,5
